StartTime,	EndTime,	NetImbalanceVolume,	ImbalanceSettlementPrice
2024-06-13T21:30:00, 	2024-06-13T22:00:00, 	9.944, 	132.08
2024-06-13T22:00:00, 	2024-06-13T22:30:00, 	26.025, 	146.37
2024-06-13T22:30:00, 	2024-06-13T23:00:00, 	26.053, 	146.21
2024-06-13T23:00:00, 	2024-06-13T23:30:00, 	33.868, 	143.11
2024-06-13T23:30:00, 	2024-06-14T00:00:00, 	29.112, 	142.42
2024-06-14T00:00:00, 	2024-06-14T00:30:00, 	19.721, 	144.1
2024-06-14T00:30:00, 	2024-06-14T01:00:00, 	20.491, 	144.1
2024-06-14T01:00:00, 	2024-06-14T01:30:00, 	31.369, 	144.12
2024-06-14T01:30:00, 	2024-06-14T02:00:00, 	37.898, 	145.25
2024-06-14T02:00:00, 	2024-06-14T02:30:00, 	43.833, 	148.33
2024-06-14T02:30:00, 	2024-06-14T03:00:00, 	50.511, 	144.97
2024-06-14T03:00:00, 	2024-06-14T03:30:00, 	52.247, 	144.1
2024-06-14T03:30:00, 	2024-06-14T04:00:00, 	52.316, 	144.1
2024-06-14T04:00:00, 	2024-06-14T04:30:00, 	42.622, 	144.44
2024-06-14T04:30:00, 	2024-06-14T05:00:00, 	40.508, 	143.19
2024-06-14T05:00:00, 	2024-06-14T05:30:00, 	32.536, 	148.35
2024-06-14T05:30:00, 	2024-06-14T06:00:00, 	38.526, 	157.19
2024-06-14T06:00:00, 	2024-06-14T06:30:00, 	41.813, 	150.95
2024-06-14T06:30:00, 	2024-06-14T07:00:00, 	65.737, 	149.52
2024-06-14T07:00:00, 	2024-06-14T07:30:00, 	54.466, 	148.87
2024-06-14T07:30:00, 	2024-06-14T08:00:00, 	54.504, 	148.8
2024-06-14T08:00:00, 	2024-06-14T08:30:00, 	48.945, 	149.07
2024-06-14T08:30:00, 	2024-06-14T09:00:00, 	49.277, 	148.02
2024-06-14T09:00:00, 	2024-06-14T09:30:00, 	57.527, 	154.29
2024-06-14T09:30:00, 	2024-06-14T10:00:00, 	35.929, 	151.76
2024-06-14T10:00:00, 	2024-06-14T10:30:00, 	17.763, 	147.77
2024-06-14T10:30:00, 	2024-06-14T11:00:00, 	15.853, 	147.77
2024-06-14T11:00:00, 	2024-06-14T11:30:00, 	11.262, 	147.98
2024-06-14T11:30:00, 	2024-06-14T12:00:00, 	19.795, 	148.23
2024-06-14T12:00:00, 	2024-06-14T12:30:00, 	32.526, 	150.46
2024-06-14T12:30:00, 	2024-06-14T13:00:00, 	14.314, 	147.77
2024-06-14T13:00:00, 	2024-06-14T13:30:00, 	16.226, 	152.19
2024-06-14T13:30:00, 	2024-06-14T14:00:00, 	-0.43, 	108.48
2024-06-14T14:00:00, 	2024-06-14T14:30:00, 	2.968, 	120.92
2024-06-14T14:30:00, 	2024-06-14T15:00:00, 	16.993, 	144.27
2024-06-14T15:00:00, 	2024-06-14T15:30:00, 	32.039, 	150.95
